Name,stop_id,stop_code,stop_descr,stop_desr_,stop_stree,dierxomene
280022: ΠΝΕΥΜΑΤΙΚΟ ΚΕΝΤΡΟ,"280022","280022",ΠΝΕΥΜΑΤΙΚΟ ΚΕΝΤΡΟ,PNEYMATIKO KENTRO,ΛΕΩΦ.ΓΡ.ΛΑΜΠΡΑΚΗ,"860"
280023: ΕΡΕΧΘΕΙΟΥ,"280023","280023",ΕΡΕΧΘΕΙΟΥ,EREXTHEIOY,ΛΕΩΦ.ΓΡ.ΛΑΜΠΡΑΚΗ,"827, 842, 860"
280024: ΕΡΕΧΘΕΙΟΥ,"280024","280024",ΕΡΕΧΘΕΙΟΥ,EREXTHEIOY,ΛΕΩΦ.ΓΡ.ΛΑΜΠΡΑΚΗ,"831, 842, 860"
280025: ΠΝΕΥΜΑΤΙΚΟ ΚΕΝΤΡΟ,"280025","280025",ΠΝΕΥΜΑΤΙΚΟ ΚΕΝΤΡΟ,PNEYMATIKO KENTRO,ΛΕΩΦ.ΓΡ.ΛΑΜΠΡΑΚΗ,"750, 830, 842, 860"
280026: ΠΑΠΑΔΙΑΜΑΝΤΗ,"280026","280026",ΠΑΠΑΔΙΑΜΑΝΤΗ,PAPADIAMANTH,ΠΑΠΑΔΙΑΜΑΝΤΗ,"806, 807, 809"
280027: ΦΟΥΡΝΟΣ,"280027","280027",ΦΟΥΡΝΟΣ,FOYRNOS,ΠΑΠΑΔΙΑΜΑΝΤΗ,"806, 807, 809"
280029: ΦΥΛΑΚΕΣ,"280029","280029",ΦΥΛΑΚΕΣ,FYLAKES,ΧΕΙΜΑΡΑΣ,"806, 807, 809, 810"
280030: ΚΑΝΑΡΙΑ,"280030","280030",ΚΑΝΑΡΙΑ,KANARIA,ΜΙΚΡΑΣ ΑΣΙΑΣ,"806, 807, 809, 810"
280031: ΗΠΕΙΡΟΥ,"280031","280031",ΗΠΕΙΡΟΥ,HPEIROY,ΣΑΜΟΥ,"807, 810"
280032: ΟΡΙΩΝ,"280032","280032",ΟΡΙΩΝ,ORION,ΣΑΜΟΥ,"807, 810"
280033: ΕΠΑΜΕΙΝΩΝΔΑ,"280033","280033",ΕΠΑΜΕΙΝΩΝΔΑ,EPAMEINONDA,ΔΕΡΒΕΝΑΚΙΩΝ,"806, 807, 809, 810, 814"
280034: ΗΠΕΙΡΟΥ,"280034","280034",ΗΠΕΙΡΟΥ,HPEIROY,ΗΠΕΙΡΟΥ,"806, 807, 809"
280035: ΚΑΝΑΡΙΑ,"280035","280035",ΚΑΝΑΡΙΑ,KANARIA,Μ.ΑΣΙΑΣ,"807"
